timestamp,endpoint,http_code,total_time_ms
18:22:47.200,/api/agents/top?limit=50,200,49.2
18:22:47.779,/api/agents/top?limit=50,200,43.1
18:22:48.364,/api/intent,400,52.9
18:22:48.922,/api/agents/top?limit=50,200,34.2
18:22:49.505,/api/agents/top?limit=50,429,48.5
18:22:50.098,/api/agents/top?limit=50,429,54.2
18:22:50.661,/api/intent,429,36.2
18:22:51.236,/api/agents/top?limit=50,429,41.3
18:22:51.816,/api/agents/top?limit=50,429,48.7
18:22:52.393,/api/agents/top?limit=50,429,48.0
18:22:52.965,/api/intent,400,43.4
18:22:53.550,/api/agents/top?limit=50,200,49.5
18:22:54.110,/api/agents/top?limit=50,200,33.2
18:22:54.697,/api/agents/top?limit=50,200,49.4
18:22:55.289,/api/intent,400,55.5
18:22:55.877,/api/agents/top?limit=50,200,51.6
18:22:56.453,/api/agents/top?limit=50,200,48.2
18:22:57.036,/api/agents/top?limit=50,200,49.0
18:22:57.619,/api/intent,400,50.0
18:22:58.200,/api/agents/top?limit=50,200,48.9
18:22:58.785,/api/agents/top?limit=50,200,51.3
18:22:59.329,/api/agents/top?limit=50,200,23.7
18:22:59.907,/api/intent,400,50.8
18:23:00.491,/api/agents/top?limit=50,200,53.3
18:23:01.071,/api/agents/top?limit=50,200,50.5
18:23:01.657,/api/agents/top?limit=50,200,51.6
18:23:02.243,/api/intent,400,49.5
18:23:02.808,/api/agents/top?limit=50,200,35.8
18:23:03.397,/api/agents/top?limit=50,200,51.6
18:23:03.970,/api/agents/top?limit=50,200,47.6
18:23:04.549,/api/intent,429,43.6
18:23:05.123,/api/agents/top?limit=50,200,47.1
18:23:05.704,/api/agents/top?limit=50,200,46.4
18:23:06.289,/api/agents/top?limit=50,200,46.2
18:23:06.856,/api/intent,429,34.2
18:23:07.419,/api/agents/top?limit=50,200,36.4
18:23:07.968,/api/agents/top?limit=50,200,28.9
18:23:08.556,/api/agents/top?limit=50,200,49.0
18:23:09.107,/api/intent,429,24.8
18:23:09.659,/api/agents/top?limit=50,200,29.0
18:23:10.218,/api/agents/top?limit=50,200,32.8
18:23:10.798,/api/agents/top?limit=50,200,44.9
18:23:11.357,/api/intent,429,34.2
18:23:11.915,/api/agents/top?limit=50,200,34.0
18:23:12.465,/api/agents/top?limit=50,200,24.6
18:23:13.009,/api/agents/top?limit=50,200,25.3
18:23:13.596,/api/intent,429,52.0
18:23:14.171,/api/agents/top?limit=50,200,50.4
18:23:14.739,/api/agents/top?limit=50,200,45.4
18:23:15.295,/api/agents/top?limit=50,200,33.7
18:23:15.855,/api/intent,429,26.8
18:23:16.439,/api/agents/top?limit=50,200,48.9
18:23:17.019,/api/agents/top?limit=50,200,50.1
18:23:17.575,/api/agents/top?limit=50,200,30.2
18:23:18.133,/api/intent,429,28.1
18:23:18.705,/api/agents/top?limit=50,200,45.2
18:23:19.290,/api/agents/top?limit=50,200,48.9
18:23:19.874,/api/agents/top?limit=50,200,48.7
18:23:20.438,/api/intent,429,32.3
18:23:21.025,/api/agents/top?limit=50,200,52.2
18:23:21.593,/api/agents/top?limit=50,200,34.5
18:23:22.176,/api/agents/top?limit=50,200,46.1
18:23:22.754,/api/intent,429,45.5
18:23:23.337,/api/agents/top?limit=50,200,53.3
18:23:23.927,/api/agents/top?limit=50,200,50.8
18:23:24.501,/api/agents/top?limit=50,200,46.4
18:23:25.071,/api/intent,429,37.2
18:23:25.659,/api/agents/top?limit=50,200,50.4
18:23:26.246,/api/agents/top?limit=50,200,53.7
